idIntercambio;nome;submercado_origem;submercado_destino;penalidade_intercambio;penalidade_intercambio_minimo
1;IV->SE;6;1;0.001;5000
2;SE->IV;1;6;0.001;5000
3;IV->S;6;2;0.001;5000
4;S->IV;2;6;0.001;5000
5;ande->SE;7;1;0.001;5000
6;ITAIPU->ande;8;7;0.001;5000
7;ITAIPU->IV;8;6;0.001;5000
8;N->FC;4;5;0.001;5000
9;FC->N;5;4;0.001;5000
10;NE->FC;3;5;0.001;5000
11;FC->NE;5;3;0.001;5000
12;SE->FC;1;5;0.001;5000
13;FC->SE;5;1;0.001;5000
14;SE->NE;1;3;0.001;5000
15;NE->SE;3;1;0.001;5000
16;N->SE;4;1;0.001;5000
17;SE->N;1;4;0.001;5000
