idVariavelAleatoria;nome;grau_liberdade_residuo_lognormal;tipo_modelo_geracao_sintetica;tipo_coeficiente_auto_correlacao;ordem_maxima_coeficiente_auto_correlacao;
1;IdBaciaHidrografica_1;2.677024007057;lognormal_3p_sazonal;positivo_e_negativo;6;
2;IdBaciaHidrografica_2;3.055409831770;lognormal_3p_sazonal;positivo_e_negativo;6;
3;IdBaciaHidrografica_3;3.526478557986;lognormal_3p_sazonal;positivo_e_negativo;6;
4;IdBaciaHidrografica_4;2.806297363055;lognormal_3p_sazonal;positivo_e_negativo;6;
5;IdBaciaHidrografica_5;2.954858486162;lognormal_3p_sazonal;positivo_e_negativo;6;
6;IdBaciaHidrografica_6;3.145699999569;lognormal_3p_sazonal;positivo_e_negativo;6;
7;IdBaciaHidrografica_7;3.425676528598;lognormal_3p_sazonal;positivo_e_negativo;6;
8;IdBaciaHidrografica_8;3.410717774385;lognormal_3p_sazonal;positivo_e_negativo;6;
9;IdBaciaHidrografica_9;2.832594025611;lognormal_3p_sazonal;positivo_e_negativo;6;
10;IdBaciaHidrografica_10;3.187937933947;lognormal_3p_sazonal;positivo_e_negativo;6;
11;IdBaciaHidrografica_11;3.477457612162;lognormal_3p_sazonal;positivo_e_negativo;6;
12;IdBaciaHidrografica_12;3.652501273395;lognormal_3p_sazonal;positivo_e_negativo;6;
13;IdBaciaHidrografica_13;3.335613533587;lognormal_3p_sazonal;positivo_e_negativo;6;
14;IdBaciaHidrografica_14;2.978054980438;lognormal_3p_sazonal;positivo_e_negativo;6;
15;IdBaciaHidrografica_15;3.437189918959;lognormal_3p_sazonal;positivo_e_negativo;6;
16;IdBaciaHidrografica_16;3.071857315085;lognormal_3p_sazonal;positivo_e_negativo;6;
17;IdBaciaHidrografica_17;3.448228291650;lognormal_3p_sazonal;positivo_e_negativo;6;
18;IdBaciaHidrografica_18;3.222649057377;lognormal_3p_sazonal;positivo_e_negativo;6;
19;IdBaciaHidrografica_19;3.588578567500;lognormal_3p_sazonal;positivo_e_negativo;6;
20;IdBaciaHidrografica_20;3.120281063463;lognormal_3p_sazonal;positivo_e_negativo;6;
21;IdBaciaHidrografica_21;3.411953434299;lognormal_3p_sazonal;positivo_e_negativo;6;
