idRestricaoEletrica;nome;penalidade_restricao_eletrica
1;12_2019_REV3_401;5000
2;12_2019_REV3_403;5000
3;12_2019_REV3_405;5000
4;12_2019_REV3_417;5000
5;12_2019_REV3_421;5000
6;12_2019_REV3_427;5000
7;12_2019_REV3_433;5000
8;12_2019_REV3_435;5000
9;12_2019_REV3_455;5000
10;12_2019_REV3_457;5000
11;12_2019_REV3_1;5000
12;12_2019_REV3_5;5000
13;12_2019_REV3_7;5000
14;12_2019_REV3_21;5000
15;12_2019_REV3_41;5000
16;12_2019_REV3_43;5000
17;12_2019_REV3_45;5000
18;12_2019_REV3_47;5000
19;12_2019_REV3_49;5000
20;12_2019_REV3_51;5000
21;12_2019_REV3_53;5000
22;12_2019_REV3_55;5000
23;12_2019_REV3_61;5000
24;12_2019_REV3_63;5000
25;12_2019_REV3_65;5000
26;12_2019_REV3_81;5000
27;12_2019_REV3_101;5000
28;12_2019_REV3_121;5000
29;12_2019_REV3_161;5000
30;12_2019_REV3_181;5000
31;12_2019_REV3_201;5000
32;12_2019_REV3_221;5000
33;12_2019_REV3_223;5000
34;12_2019_REV3_225;5000
35;12_2019_REV3_227;5000
36;12_2019_REV3_241;5000
37;12_2019_REV3_243;5000
38;12_2019_REV3_261;5000
39;12_2019_REV3_271;5000
40;12_2019_REV3_273;5000
41;12_2019_REV3_280;5000
42;12_2019_REV3_409;5000
43;12_2019_REV3_413;5000
44;12_2019_REV3_415;5000
45;12_2019_REV3_419;5000
46;12_2019_REV3_425;5000
47;12_2019_REV3_431;5000
48;12_2019_REV3_437;5000
49;12_2019_REV3_439;5000
50;12_2019_REV3_441;5000
51;12_2019_REV3_443;5000
52;12_2019_REV3_445;5000
53;12_2019_REV3_447;5000
54;12_2019_REV3_461;5000
55;12_2019_REV3_650;5000
56;12_2019_REV3_655;5000
57;01_2020_REV4_11;5000.000000000000
58;01_2020_REV4_461;5000.000000000000
59;01_2020_REV4_462;5000.000000000000
60;01_2020_REV4_463;5000.000000000000
61;05_2020_REV4_457;5000.000000000000
62;08_2020_REV3_429;5000.000000000000
63;09_2020_REV3_281;5000.000000000000
64;12_2020_REV3_455;5000.000000000000
65;01_2021_REV4_455;5000.000000000000
66;01_2021_REV4_285;5000.000000000000
67;01_2021_REV4_290;5000.000000000000
68;03_2021_REV3_300;5000.000000000000
69;07_2021_REV4_245;5000.000000000000
70;07_2021_REV4_295;5000.000000000000
71;01_2022_REV3_16;5000.000000000000
72;02_2022_REV3_283;5000.000000000000
